artist,song_name,closest_genre,lyric,length_lyric
Gloria Gaynor,I Will Survive - Rerecorded,Electronic,"At first I was afraid,
I was petrified,
kept thinking I could never live without you by my side,
but then I spent so many nights thinking how you did me wrong,
and I grew strong,
and I learned how to get along!

And so you're back, from outer space,
I just walked in to find you here with that sad look upon your face,
I should've changed that stupid lock,
I should've made you leave your key,
if I had known for just one second,
you'd be back to bother me.

Go now go,
walk out the door,
just turn around now,
cause you're not welcome anymore,
weren't you the one who tried to break me with goodbye,
you'd think I'd crumble,
you'd think I'd lay down and die!

Oh no not I,
I will survive,
Oh as long as I know how to love I know I'll stay alive,
I've got all my life to live,
I've got all my love to give,
I will survive, I will survive!

It took all the strength I had not to fall apart,
just trying hard to mend the pieces of my broken heart,
and I spent oh so many nights just feelin' sorry for myself,
I used to cry,
but now I hold my head up high,
and you see me,
somebody new,
I'm not that chained up little person still in love with you,
and so you felt like dropping in,
and just expect me to be free,
but now I'm saving all my loving for someone who's loving me.

Go now go,
walk out the door,
just turn around now,
cause you're not welcome anymore,
weren't you the one who tried to break me with goodbye,
you'd think I'd crumble,
you'd think I'd lay down and die!

Oh no not I,
I will survive,
Oh as long as I know how to love I know I'll stay alive,
I've got all my life to live,
I've got all my love to give,
I will survive, I will survive!

Go now go,
walk out the door,
just turn around now,
cause you're not welcome anymore,
weren't you the one who tried to break me with goodbye,
you'd think I'd crumble,
you'd think I'd lay down and die!

Oh no not I,
I will survive,
Oh as long as I know how to love I know I'll stay alive,
I've got all my life to live,
I've got all my love to give,
I will survive,
I will survive,
I will survive!",422
Queen,I Want To Break Free - Remastered 2011,Electronic,"I want to break free
I want to break free,
I want to break free from your lies,
you're so self satisfied, I don't need you
I've got to break free
God knows, god knows I want to break free

I've fallen in love
I've fallen in love for the first time,
and this time I know it's for real
I've fallen in love
God knows, god knows I've fallen in love

It's strange but it's true,
Yeah!
I can't get over the way you love me like you do
But I have to be sure, when I walk out that door
Oh, how I want to be free, baby
Oh, how I want to be free
Oh, how I want to break free

But life still goes on
I can't get used to living without,
living without, living without you, by my side
I don't want to live alone, hey
God knows, got to make it on my own
So baby can't you see?
I've got to break free

I've got to break free
I want to break free
I want, I want, I want, I want to break free",191
Sade,Haunt Me,Electronic,"haunt me
in my dreams
if you please
your breath is with me now and always
it's like a breeze

so should you ever doubt me
if it's help that you need
never dare to doubt me

and if you want to sleep
i'll be quiet
like an angel
as quiet as your soul could be
if you only knew
you had a friend like me

so should you ever doubt me
if it's help that you need
never dare to doubt me",83
The Bangles,Eternal Flame,Electronic,"Close your eyes, give me your hand, darlin'
Do you feel my heart beating
Do you understand
Do you feel the same
Am I only dreaming
Is this burning an eternal flame

I believe it's meant to be, darlin'
I watch you when you are sleeping
You belong with me
Do you feel the same
Am I only dreaming
Or is this burning an eternal flame

Say my name sun shines through the rain
A whole life so lonely
And then come and ease the pain
I don't want to lose this feeling, ohhh..

(Instrumental)

Say my name, sun shines through the rain
A whole life so lonely
Then come and ease the pain
I don't want to lose this feeling, ohhh..

Close your eyes, give me your hand,
Do you feel my heart beating
Do you understand
Do you feel the same
Am I only dreaming
Or is this burning an eternal flame

Close your eyes, give me your hand, darling
Do you feel my heart beating
Do you understand
Do you feel the same
Am I only dreaming
Is this burning an eternal flame

Close your eyes, give me your hand (your hand), darlin'
Do you feel my heart beating
Do you understand (do you understand)
Do you feel the same
Am I only dreaming (dreaming)
An eternal flame (aah)

Close your eyes, give me your hand, darlin' (oh ohh oh)
Do you feel my heart beating
Do you understand (do you understand)
Do you feel the same
Am I only dreaming (dreaming)
Is this burning an eternal flame (aah)",262
Depeche Mode,Get the Balance Right!,Electronic,"There's more besides
Joyrides
The little house in the countryside
Understand
Learn to demand
Compromise
And sometimes lie

Get the balance right
Get the balance right

Be responsible
Respectable
Stable but gullible
Concerned and caring
Help the helpless
But always remain
Ultimately selfish

Get the balance right
Get the balance right

When you think you've got a hold of it all
You haven't got a hold at all
When you reach the top
Get ready to drop
Prepare yourself for the fall
You're gonna fall
It's almost predictable

Almost

Don't turn this way
Don't turn that way
Straight down the middle until next Thursday
First to the left
Then back to the right
Twist and turn 'til you've got it right

Get the balance right
Get the balance right

Get the balance right
Get the balance right

Get the balance right
Get the balance right",145
Enrique Iglesias,Bailamos,Electronic,"Esta noche bailamos
Te doy toda mi vida
Quedate conmigo

Tonight we dance
I leave my life in your hands
We take the floor
Nothing is forbidden anymore

Don't let the world be my side
Don't let a moment go by
Nothing can stop us tonight

chorus:
Bailamos
Let the rhythm take you over
Bailamos
Te quiero amor mio
Bailamos
wanna live this life forever
Bailamos
Te quiero amor mio
Te quiero

Tonight I'm yours
We can make it happen I'm so sure
Now I'm letting go
There is something I think you should know

I won't be leaving your side
We're gonna dance through the night
I'm gonna reach for the stars

(chorus)

(whoa, oh oh oh)
Tonight we dance
(whoa, oh oh oh)
like no tomorrow
(whoa oh oh oh)
If you will stay with me

Te quiero
Mi amor

Quedate conmigo
esta noche bailamos

(Chorus)

Bailamos
Let the rhythm take you over(como te quiero)
Bailamos
Te quiero amor mio(como te quiero)
Bailamos
Gonna wanna live this life forever(como te quiero)
Bailamos
Te quiero amor mio(como te quiero)
(Repeat to fade)",183
Tears For Fears,Sowing The Seeds Of Love,Electronic,"High time we made a stand and shook up the views of the common man
And the lovetrain rides from coast to coast
D.J.'s the man we love the most
Could you be, could you be squeaky clean
And smash any hope of democracry ?
As the headline says you're free to choose
There's egg on your face and mud on your shoes
One of these days they're gonna call it the blues

And anything is possible when you're Sowing the Seeds of Love
Anything is possible - Sowing the Seeds of Love

I spy tears in thier eyes
They look to the skies for some kind of divine intervention
Food goes to waste !
So nice to eat, so nice to taste
Politician Grannie with your high ideals
Have you no idea how the Majority feels ?
So without love and a promise land
We're fools to the rules of a Goverment plan
Kick out the style ! Bring back the jam !

Anything...
Sowing the Seeds
The birds and the bees
My girlfriend and me in love

Feel the pain
Talk about it
If you're a worried man - then shout about it
Open hearts - feel about it
Open minds - think about it
Everyone - read about it
Everyone - scream about it !
Everyone
Everyone - read about it, read about it
Read in the books in the crannies and the nooks there are books to read
Chorus !

(Mr. England Sowing the Seeds of Love)

Time to eat all your words
Swallow your pride
Open your eyes

High time we made a stand and shook up the views of the common man
And the lovetrain rides from coast to coast
Every minute of every hour - "" I Love a Sunflower ""
And I believe in lovepower, Love power, LOVEPOWER !!!

Sowing the Seeds
An end to need
And the Politics of Greed
With love",321
Nik Kershaw,The Riddle,Electronic,"i got two strong arms
blessings of babylon
with time to carry on
and try
for sins and false alarms
so to america the brave
wise men save

[chorus]
near a tree by a river
there's a hole in the ground
where an old man of aran
goes around and around
and his mind is a beacon
in the veil of the night
for a strange kind of fashion
there's a wrong and a right
but he'll never, never fight over you

i got plans for us
nights in the scullery
and days instead of me
i only know what to discuss
of for anything but light
wise men fighting over you

it's not me you see
pieces of valentine
with just a song of mine
to keep from burning history
seasons of gasoline and gold
wise men fold

[chorus repeat]

i got time to kill
sly looks in corridors
without a plan of yours
a blackbird sings on bluebird hill
thanks to the calling of the wild
wise mens child

[chorus repeat (2x)]
..but he'll never, never fight over you",181
Queen,Killer Queen - Remastered 2011,Electronic,"So sad her eyes
Smiling dark eyes
So sad her eyes
As it began

On such a breathless night as this
Upon my brow the lightest kiss
I walked alone
And all around the air did say
My lady soon will stir this way
In sorrow known
The White Queen walks and the night grows pale
Stars of lovingness in her hair

Needing - unheard
Pleading - one word
So sad my eyes
She cannot see

How did thee fare, what have thee seen
The mother of the willow green
I call her name
And 'neath her window have I stayed
I loved the footsteps that she made
And when…

My Goddess, hear my darkest fear
I speak too late
It's for evermore that I wait

Dear friend goodbye
No tears in my eyes
So sad it ends
As it began",141
Queen,Hammer To Fall,Electronic,"Here we stand or here we fall
History won't care at all
Make the bed, light the light
Lady Mercy won't be home tonight

You don't waste no time at all
Don't hear the bell but you answer the call
It comes to you as to us all
We're just waiting
For the hammer to fall

Oh ev'ry night and every day
A little piece of you is falling away
But lift your face the Western Way
Build your muscles as your body decays

Toe your line and play their game
Let the anaesthetic cover it all
Till one day they call your name
You know it's time for the hammer to fall

Rich or poor or famous
For your truth it's all the same (oh no, oh no)
Lock your door the rain is pouring
Through your window pane (oh no)
Baby now your struggle's all in vain

For we who grew up tall and proud
In the shadow of the mushroom cloud
Convinced our voices can't be heard
We just wanna scream it louder and louder and louder

What the hell we fighting for?
Just surrender and it won't hurt at all
Just got time to say your prayers
While you're waiting for the hammer to hammer to fall

It's gonna fall
Hammer
You know
Hammer to fall
While you're waiting for the hammer to fall

Give it to me one more time",235
Sade,I Couldn't Love You More,Electronic,"I gave you all the love I got
I gave you more than I could give
I gave you love
I gave you all that I have inside
And you took my love
You took my love
Didn't I tell you
What I believe
Did somebody say that
A love like that won't last
Didn't I give you
All that I've got to give baby
I gave you all the love I got
I gave you more than I could give
I gave you love
I gave you all that I have inside
And you took my love
You took my love
I keep crying
I keep trying for you
There's nothing like you and I baby
This is no ordinary love
No ordinary Love
This is no ordinary love
No ordinary Love
When you came my way
You brightened every day
With your sweet smile
Didn't I tell you
What I believe
Did somebody say that
A love like that won't last
Didn't I give you
All that I've got to give baby
This is no ordinary love
No ordinary Love
This is no ordinary love
No ordinary Love
I keep cryingThere's nothing like you and I baby
This is no ordinary love
No ordinary Love
This is no ordinary love
No ordinary Love
Keep trying for you
Keep crying for you
Keep flying for you
Keep flying I'm falling
I'm falling
Keep trying for you
Keep crying for you
Keep flying for you
Keep flying for you I'm falling
I'm falling
I keep trying for you",258
Queen,Princes Of The Universe - Remastered 2011,Electronic,"Here we are - born to be kings
We're the princes of the universe
Here we belong - fighting to survive
In a world with the darkest powers

And here we are, We're the princes of the universe
Here we belong, fighting for survival
We've come to be the rulers of your world
I am immortal, I have inside me blood of kings
I have no rival, no man can be my equal
Take me to the future of your world

Born to be kings, princes of the universe
Fighting and free, got your world in my hand
I'm here for your love and I'll make my stand
We were born to be princes of the universe
No man could understand, my power is in my own hand
Ooh Ooh Ooh Ooh
People talk about you, people say you've had your day
I'm a man that will go far, fly the moon and reach for the stars
With my sword and head held high
Got to pass the test first time - yeah
I know that people talk about me I hear it every day
But I can prove you wrong cause I'm right first time
Yeah Yeah
Alright
Watch this man fly
Bring on the girls

Here we are
Born to be kings
We're the princes of the universe
Here we belong
Born to be kings
Princes of the universe, Fighting and free
Got the world in my hands, I'm here for your love
And I'll make my stand
We were born to be princes of the universe.(echo echo echo)",261
Animotion,Obsession,Electronic,"You are an obsession
I cannot sleep
I am a possession
Unopened at your feet
There is no balance
No equality
Be still
I will not accept defeat

I will have you
Yes I will have you
I will find a way and I will have you
Like a butterfly
A wild butterfly
I will collect you and capture you

You are an obsession
You're my obsession
Who do you want me to be
To make you sleep with me
You are an obsession
You're my obsession
Who do you want me to be
To make you sleep with me

I feed you I drink you
My day and my night
I need you I need you
By sun or candlelight
You protest you want to leave
Stay there's no alternative

Your face appears again
I see the beauty there
But I see danger
Stranger beware
A circumstance in your naked dream
Your affection is not what it seems

You are an obsession
You're my obsession
Who do you want me to be
To make you sleep with me
You are an obsession
You're my obsession
Who do you want me to be
To make you sleep with me

My fantasy has turned to madness
All my goodness has turned to badness
My need to posess you has consumed my soul
My life is trembling I have no control

I will have you
Yes I will have you
I will find a way and I will have you
Like a butterfly
A wild butterfly
I will collect you and capture you

You are an obsession
You're my obsession
Who do you want me to be
To make you sleep with me
You are an obsession
You're my obsession
Who do you want me to be
To make you sleep with me
(repeat and fade)",304
Robin S,Show Me Love,Electronic,"Ahhh... Yeah yeah
You’ve got to show me love

Heartbreaks and promises, I’ve had more than my share
I’m tired of giving my love and getting nowhere, nowhere
What I need is somebody who really cares
I really need a lover, a lover who wants to be there
It’s been so long since I touched a wanting hand
I can’t put my love on the line, that I hope you’ll understand

So baby if you want me
You’ve got to show me love
Words are so easy to say, oh ah yeah
You’ve got to show me love

I’m tired of getting caught up in those one night affairs
What I really need is somebody who will always be there
Don’t you promise me the world, all that I’ve already heard
This time around for me baby, actions speak louder than words

So if you’re looking for devotion, talk to me
Come with your heart in your hands
Because me love is guaranteed

So baby if you want me
You’ve got to show me love
Words are so easy to say, oh ah yeah
You’ve got to show me love

Show me, show me baby
Show me, show me baby
Show me, show me baby
Show me, show me baby

Heartbreaks and promises, I’ve had more than my share
I’m tired of giving my love and getting nowhere, nowhere
What I really need is somebody who will always be there
This time around for me baby, actions speak louder than words

If you’re looking for devotion, talk to me
Come with your heart in your hands
Because me love is guaranteed

So baby if you want me
You’ve got to show me love
Words are so easy to say, oh ah yeah
You’ve got to show me love

There’s nothing that you can tell me
You’ve got to show me love
There’s only one key to my heart
You’ve got to show me love

Show me, show me baby
You’ve got to give it to me, give it to me, give it to me yeah
I don’t want no fakes, don’t want no phoney
I need you love
Show me, show me, show me baby
Give it to me, give it to me
I am not a toy, I’m not a play thang
You’ve got to understand

If you’re looking for devotion, talk to me
Come with your heart in your hands
Because me love is guaranteed...
Yeah yeah yeah yeah yeah",412
Queen,The Show Must Go On - Remastered 2011,Electronic,"Empty spaces - what are we living for
Abandoned places - I guess we know the score
On and on
Does anybody know what we are looking for

Another hero another mindless crime
Behind the curtain in the pantomime
Hold the line
Does anybody want to take it anymore

The show must go on
The show must go on
Inside my heart is breaking
My make-up may be flaking
But my smile still stays on

Whatever happens I'll leave it all to chance
Another heartache another failed romance
On and on
Does anybody know what we are living for
I guess I'm learning
I must be warmer now
I'll soon be turning round the corner now
Outside the dawn is breaking
But inside in the dark I'm aching to be free

The show must go on
The show must go on - yeah
Ooh inside my heart is breaking
My make-up may be flaking
But my smile still stays on

Yeah, oh oh oh

My soul is painted like the wings of butterflies
Fairy tales of yesterday will grow but never die
I can fly - my friends

The show must go on - yeah
The show must go on
I'll face it with a grin
I'm never giving in
On with the show

I'll top the bill
I'll overkill
I have to find the will to carry on
On with the
On with the show

The show must go on, go on, go on, go on, ...",248
Blind Willie Johnson,Bye and Bye I'm Goin' to See the King,Folk,"Alone I walk, hearing a voice
that's calling my name
no one should be here
take no one with you
god, why I didn't care

On through death take me away
to the place time will not fade

Colder than dead
darkness - eternity
but look out

A hundred thousand centuries
the sun had never seen
so near but so much too far
eternal place you know what's life
but cannot tell

I can never see you changing
but you look to me
time will never heal your wounds
but you're immortal

Ref.:
Hall of the King a vision of the end
Hall of the King don't cry for us
don't hear us calling
Oh watch out for me Hall of the light
my last sin

You find yourself
just take a look
to see you must open your eyes
like a hawk in the sky
a wonder that dies
don't ask me wy
(Lead: André)

You're the birth and you're the end
you've been hurt but you're not dead
discovering you is what should never be
poisoned are our souls
and dark our hearts
ruins we've left to rule the world
destructive are our minds
it's much too late

(Solo: Kai/Harmony Lead: Kai)

Ref.",205
Joan Baez,Wildwood Flower,Folk,"Wildwood flower (traditional)

I will twine with my mingles of raven black hair
With the roses so red and the lilies so fair
The meadow so bright with it's emerald hue
And the pale and the leader and eyes look so blue

I will dance, I will sing and my laugh shall be gay
I will charm every heart, in his crown I will sway
I woke from my dream and all idols was clay
And all portions of love then had all flown away

He told me to love him and promised to love
And cherish me over all others above
My poor heart is wondering no misery can tell
He left me no warning, no words of farewell

He told me to love him and called me his flower
That was blooming to cheer him through life's weary hour
How I long to see him and regret the dark hour
He's gone and neglected his frail wildwood flower.",160
John Prine,Paradise,Folk,"Ross wilson, and g smith

Flamingos walk, and sway in peace
Seeing this, it makes my troubles cease
The sun is hiding, leaving a pink scar
That stretches right across the sky
That's all we've seen so far
And all I do is look into your eyes

For that special touch of paradise
Just a touch, a touch of paradise
Just a special touch of paradise



You hold my hand, that's when we kiss
And it doesn't take long no, until I get the gist
Of this love that stretches out across the land
Where rainbows flash, as we're walking in the sand
And all I do is look into your eyes

A touch of spring, and autumn sweet
Well the trees vibrate when our eyes meet
And I think of all the love that we have been making
You touch my hand and I walk off shaking
And all I do is look into your eyes",157
Leon Russell,Lady Blue,Folk,"Woman of the country now I found you
Longing in your soft and fertile delta
And I whisper sighs to satisfy your longing
For the warm and tender shelter of my body

Cos you're mine delta lady
Yeah you're mine, be all mine
Delta lady

Please don't ask how many times I found you
Standing wet and naked in the garden
And I think of days
And the different ways I held you
I held you closely to me, yes our heart was beating

Cos you're mine delta lady
Yeah you're mine, be all mine
Delta lady

Oh when I'm home again in england
And I'm thinking of you
Beause, I love you, yes I do

There are concrete mountains in the city
And pretty city women live inside them
And yet it seems the city scene is lacking
I'm so glad you're waiting for me in the country

For you're mine delta lady
Darlin' you're mine, be all mine
Delta lady

Gonna walk, gonna talk
Gonna scream and shout
Gonna tell all the world
What I'm thinkin' about",179
Judee Sill,Crayon Angels,Folk,"Crayon Angel songs are slightly out of tune
But I’m sure I’m not to blame.
Nothin’s happened but I think it will soon,
So I sit here waitin’ for God and a train,
To the Astral plane.

Magic rings I made have turned my finger green.
And my mystic roses died.
Guess reality is not as it seems,
So I sit here hopin’ for truth and a ride,
To the other side.

Phony prophets stole the only light I knew,
And the darkness softly screamed.
Holy visions disappeared from my view,
But the angels come back and laugh in my dreams,
I wonder what it means.",106
John Fahey,On The Sunny Side Of The Ocean,Folk,"It seems as though I've lived my life
On the bad side of the moon
To stir your dregs in sickness still
Without the rustic spoon

Common people live with me
Where the light has never shone
And the hermits flock like hummingbirds
To speak in a foreign tongue

I'm a light world away
From the people who make me stay
Sitting on the bad side of the moon

There ain't no need for watchdogs here
To justify our ways
We live our life in manacles
The main cause of our stay

Exiled here from other worlds
My sentence comes too soon
Why should I be made to pay
On the bad side of the moon",116
The Kingston Trio,Three Jolly Coachmen,Folk,"Dave Guard

One, two, and three jolly coachmen sat at an English tavern. Three jolly coachmen sat at an English tavern,
And they decided, and they decided, and they decided to have another flagon.

Landlord, fill the flowing bowl until it doth run over. (Repeat)
For tonight we merr-I be, (Repeat twice)
Tomorrow we'll be sober. (What!)

Here's to the man who drinks dark ale and goes to bed quite mellow! (Repeat)
He lives as he ought to live (Repeat twice)
He'll die a jolly good fellow! (Ha! Ha! Ha!)

Here's to the man who drinks water pure and goes to bed quite sober. (Repeat)
He falls as the leaves do fall, (Repeat twice)
He'll die before October! (Ho! Ho! Ho!)

Here's to the maid who steals a kiss and runs to tell her mother. (Repeat)
She's a foolish, foolish thing. (Repeat twice)
For she'll not get another. (Pity!)

Here's to the maid who steals a kiss and stays to steal another. (Repeat)\
She's a boon to all man kind. (Repeat twice)
For soon she'll be a mother!",178
The Byrds,Wasn't Born to Follow,Folk,"Written by Carol King and Gerry Goffin

Oh I'd rather go and journey
Where the diamond crescent's glowing and
Run across the valley
Beneath the sacred mountain
And Wander through the forest
Where the trees have leaves of prisms
And break the light in colors
That no-one knows the names of
And when it's time I'll go and wait
Beside a legendary fountain
Till I see your form reflected
In it's clear and jeweled waters
And if you think I'm ready
You may lead me to the chasm
Where the rivers of our vision
Flow into one another
I will watch her dive beneath
The white cascading waters
She may beg she may plead
She may argue with her logic
And then mention all the things I'll lose
That really have no value
In the end she will surely know
I wasn't born to follow",145
Don McLean,And I Love You So,Folk,"And I love you so,
The people ask me how,
How I've lived till now
I tell them ""I don't know""

I guess they understand
How lonely life has been
But life began again
The day you took my hand

And yes I know how lonely life can be
The shadows follow me
And the night won't set me free
But I don't let the evening bring me down
Now that you're around me

And you love me too
Your thoughts are just for me
You set my spirit free
I'm happy that you do

The book of life is brief
And once a page is read
All but love is dead
This is my belief

And yes I know how loveless life can be
The shadows follow me
And the night won't set me free
But I don't let the evening get me down
Now that you're around me

And I love you so
The people ask me how,
How I've lived till now
I tell them ""I don't know""",171
Iris DeMent,Our Town,Folk,"CHORUS: And ya know the sun's setin' fast
And just like they say, nothing good ever lasts
Go on now and kiss it goodbye
But hold on to your lover 'cause your heart's bound to die
Go on now and say goodbye to our town, to our town
Can't you see the sun's settin' down on our town, on our town
Goodnight

Up the street beside that red neon light
That's where I met my baby on one hot summer night
He was the tender and I ordered the beer
It's been forty years and I'm still sittin' here

CHORUS

It's here I had my babies and I had my first kiss
I've walked down Main Street in the cold morning mist
Over there is where I bought my first car
It turned over once but then it never went far

CHORUS

I've buried my Mama and I've buried my Pa
They sleep up the street beside that pretty brick wall
I bring 'em flowers about everyday
But I just gotta cry when I think what they'd say

CHORUS
If they could see how the sun's setting fast...

Now I sit on the porch and watch the lightnin' bugs fly
But I can't see too good, I got tears in my eyes
I'm leavin' tomorrow but I don't wanna go
I love you, my town, you'll always live in my soul

But I can see the sun's seting fast
And just like they say, nothing good ever lasts
Go on, I gotta kiss you goodbye
But I'll hold on to my lover 'cause my heart's 'bout to die
Go on now and say goodbye to my town, to my town
I can see the sun has gone down on my town, on my town
Goodnight, Goodnight",296
Lead Belly,Goodnight Irene (Sung With Little Girl),Folk,"Irene goodnight, Irene goodnight
Goodnight Irene, goodnight Irene
I'll see you in my dreams

Sometimes I live in the country
Sometimes I live in town
Sometimes I have a great notion
To jump into the river and drown

Irene goodnight, Irene goodnight
Goodnight Irene, goodnight Irene
I'll see you in my dreams

Quit ramblin' and quit gamblin'
Quit stayin' out late at night
Stay home with your wife and family
Sit down by the fireside bright

Irene goodnight, Irene goodnight
Goodnight Irene, goodnight Irene
I'll see you in my dreams

I asked your mother for you
She told me you was too young

I wished to God I'd never seen your face
I's sorry you ever was born

Irene goodnight, Irene goodnight
Goodnight Irene, goodnight Irene
I'll see you in my dreams

I love Irene, God knows I do
I'll love her till the seas run dry
And if Irene turns her back on me
I'd take morphine and die

Irene goodnight, Irene goodnight
Goodnight Irene, goodnight Irene
I'll see you in my dreams

You cause me to weep, you cause me to mourn
You cause me to leave my home
But the very last words I heard her say
Was ""Please sing me one more song""

Irene goodnight, Irene goodnight
Goodnight Irene, goodnight Irene
I'll see you in my dreams",221
Graham Nash,Military Madness,Folk,"How can i bring you
To the sea of madness
I love you so much
It's gonna bring me sadness
I've never seen you
Through these eyes before
Now i don't believe it
I think i'll take it
Or leave it.

All i need
Is your sweet sweet loving
Fill my life with happiness
All i want is your heart
Every time i think of you
Mine falls apart.

I went to heaven
And i stood at the crossroads
I'll love you tomorrow
As sure as the wind blows
Silver rain
On the mountain clover
Washes away
Until the music is over.",102
Charley Patton,High Sheriff Blues,Folk,"Get in trouble at Belzoni, there ain't no use a-screamin' and cryin'
Get in trouble in Belzoni, there ain't no use a-screamin' and cryin'
Mr. Will will take you, back to Belzoni jailhouse flyin'

Le' me tell you folksies, how he treated me
Le' me tell you folksies, how he treated me
An' he put me in a cellar, just as dark as it could be

There I laid one evenin', Mr. Purvis was standin' 'round
There I laid one evenin', Mr. Purvis was standin' 'round
Mr. Purvis told Mr. Will to, let poor Charley down

It takes booze and blues, Lord, to carry me through
Takes booze and blues, Lord, to carry me through
But it did seem like years, in a jailhouse where there is no boo'

I got up one mornin', feelin' awe, hmm
I got up one mornin', feelin' mighty bad, hmm
An' it might not a-been them Belzoni jail I had
(spoken: Blues I had, boys)

While I was in trouble, ain't no use a-screamin'
When I was in prison, it ain't no use a-screamin and cryin'
Mr. Purvis the onliest man could, ease that pain of mine",193
Bobbie Gentry,Ode To Billie Joe,Folk,"It was the third of June, another sleepy, dusty Delta day
I was out choppin' cotton and my brother was balin' hay
And at dinner time we stopped and walked back to the house to eat
And Mama hollered out the back door ""Y'all remember to wipe your feet""
And then she said ""I got some news this mornin' from Choctaw Ridge""
""Today Billie Joe MacAllister jumped off the Tallahatchie Bridge""

And Papa said to Mama as he passed around the blackeyed peas
""Well, Billie Joe never had a lick of sense, pass the biscuits, please""
""There's five more acres in the lower forty I've got to plow""
And Mama said it was shame about Billie Joe, anyhow
Seems like nothin' ever comes to no good up on Choctaw Ridge
And now Billie Joe MacAllister's jumped off the Tallahatchie Bridge

And Brother said he recollected when he and Tom and Billie Joe
Put a frog down my back at the Carroll County picture show
And wasn't I talkin' to him after church last Sunday night?
""I'll have another piece of apple pie, you know it don't seem right""
""I saw him at the sawmill yesterday on Choctaw Ridge""
""And now you tell me Billie Joe's jumped off the Tallahatchie Bridge""

And Mama said to me ""Child, what's happened to your appetite?""
""I've been cookin' all morning and you haven't touched a single bite""
""That nice young preacher, Brother Taylor, dropped by today""
""Said he'd be pleased to have dinner on Sunday, oh, by the way""
""He said he saw a girl that looked a lot like you up on Choctaw Ridge""
""And she and Billie Joe was throwing somethin' off the Tallahatchie Bridge""

A year has come 'n' gone since we heard the news 'bout Billie Joe
And Brother married Becky Thompson, they bought a store in Tupelo
There was a virus going 'round, Papa caught it and he died last Spring
And now Mama doesn't seem to wanna do much of anything
And me, I spend a lot of time pickin' flowers up on Choctaw Ridge
And drop them into the muddy water off the Tallahatchie Bridge",358
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),Folk,"If you're going to San Francisco
Be sure to wear some flowers in your hair
If you're going to San Francisco
You're gonna meet some gentle people there

For those who come to San Francisco
Summertime will be a love-in there
In the streets of San Francisco
Gentle people with flowers in their hair

All across the nation such a strange vibration
People in motion
There's a whole generation with a new explanation
People in motion people in motion

For those who come to San Francisco
Be sure to wear some flowers in your hair
If you come to San Francisco
Summertime will be a love-in there

If you come to San Francisco
Summertime will be a love-in there",119
Warren Zevon,Werewolves of London - 2007 Remaster,Folk,"I saw a werewolf with a Chinese menu in his hand
Walking through the streets of SoHo in the rain
He was looking for the place called Lee Ho Fooks
For to get a big dish of beef chow mein

Refrain:
Ah-wooo, Werewolves of London
Ah-wooo
(x2)

You hear him howling around your kitchen door
Better not let him in
Little old lady got mutilated late last night
Werewolves of London again

(Refrain)
Hunh!

He's the hairy-handed gent
Who ran amok in Kent
Lately he's been overheard in Mayfair
You better stay away from him
He'll rip your lungs out, Jim
Hunh, I'd like to meet his tailor

(Refrain)
I saw Lon Chaney walking with the Queen
Doin' the Werewolves of London
I saw Lon Chaney Jr. walking with the Queen
Doin' the Werewolves of London
I saw a werewolf drinkin' a pina colada at Trader Vic's
His hair was perfect...hinh!
Ah-wooo
Werewolves of London
Hunh, draw blood
Ah-wooo
Werewolves of London",162
The Byrds,My Back Pages,Folk,"Crimson flames tied through my years
Flowing high and mighty trapped
Countless fire and flaming roads
Using ideas as my maps
We'll meet on edges soon, said I
Proud 'neath heated brow
Ah, but I was so much older then
I'm younger than that now

Half-wracked prejudice leaped forth
Rip down all hate, I screamed
Lies that life is black and white
Spoke from my skull, I dreamed
Romantic flanks of musketeers
Foundationed deep, somehow
Ah, but I was so much older then
I'm younger than that now

In a soldier's stance I aimed my hand
At the mongrel dogs who teach
Fearing not I'd become my enemy
In the instant that I preach
Sisters fled by confusion boats
Mutiny from stern to bow
Ah, but I was so much older then
I'm younger than that now

Ah, but I was so much older then
I'm younger than that now

My guard stood hard when abstract threats
Too noble to neglect
Deceived me into thinking
I had something to protect
Good and bad, I define these terms
Quite clear, no doubt, somehow
Ah, but I was so much older then
I'm younger than that now",195
Joni Mitchell,Chelsea Morning,Folk,"Woke up, it was a Chelsea morning, and
the first thing that I heard
Was a song outside my window, and the
traffic wrote the words
It came ringing up like Christmas bells,
and rapping up like pipes and drums

Oh, won't you stay
We'll put on the day
And we'll wear it till the night comes

Woke up, it was a Chelsea morning, and
the first thing that I saw
Was the sun through yellow curtain, and
a rainbow on the wall
Blue, red, green and gold to welcome
you, crimson crystal beads to beckon

Oh, won't you stay,
We'll put on the day
There's a sun show every second

Now the curtain opens on a
portait of today
And the streets are paved with passerby
And pigeons fly
And papers lie
Waiting to blow away

Woke up, it was a Chelsea morning, and
the first thing that I knew
There was milk and toast and honey and a
bowl of oranges, too
And the sun poured in like butterscotch
and stuck to all my senses

Oh, won't you stay
We'll put on the day
And we'll talk in present tenses

When the curtain closes and the
rainbow runs away
I will bring you incense owls by night
By candlelight
By jewel-light
If only you will stay
Pretty baby, won't you
Wake up, it's a Chelsea morning",228
