artist,song_name,closest_genre,lyric,length_lyric,actual_lyric_length
Keane,Somewhere Only We Know,Folk,"I walked across an empty land
I knew the pathway like the back of my hand
I felt the earth beneath my feet
Sat by the river and it made me complete

Oh simple thing where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

I came across a fallen tree
I felt the branches of it looking at me
Is this the place we used to love?
Is this the place that I've been dreaming of?

Oh simple thing where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

And if you have a minute why don't we go
Talk about it somewhere only we know?
This could be the end of everything
So why don't we go
Somewhere only we know?
Somewhere only we know?

(break)

Oh simple thing where have you gone?
I'm getting old and I need something to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

And if you have a minute why don't we go
Talk about it somewhere only we know?
This could be the end of everything
So why don't we go
So why don't we go

HmmmaaaAAAA.....Ahhhoooooo....

This could be the end of everything
So why don't we go
Somewhere only we know?
Somewhere only we know?
Somewhere only we know?",266,47
Lee Hazlewood,Wait Till Next Year,Folk,"There were bells on a hill
But I never heard them ringing
No I never heard them at all
Till there was you

There were birds in the sky
But I never saw them winging
No I never saw them at all
Till there was you

Then there was music and wonderful roses
They tell me in sweet fragrant meadows of dawn and you

There was love all around
But I never heard it singing
No I never heard it at all
Till there was you

Then there was music and wonderful roses
They tell me in sweet fragrant meadows of dawn and you

There was love all around
But I never heard it singing
No I never heard it at all
Till there was you

Till there was you",130,27
The Byrds,What's Happening?,Folk,"Like a silent ray of sunlight
Catching in my eye
Like a bird sea-goin'
Coasting on my sky

It happens each day
You're away from here...

A bunch of friends are missing
From this tapestry
I remember kissing
Do you remember me

It happens each day
You're away from here...

Like a disembodied spirit
Watching over me
Like a sister sailing ship
Dead against the sea

It happens each day
You're away from here...",74,23
Flatt & Scruggs,You Can Feel It In Your Soul,Folk,"I woke up this morning
With this feeling inside me, that I can't explain
Like a weight that I've carried, been carried away, away
But I know something is coming
I don't know what it is
But I know it's amazing, can save me my time is coming
I'll find my way out
Of this longest drought

[chorus]
And it feels like today, I know
It feels like today, I'm sure
It's the one thing that's missing
The one thing you're wishing
The last sacred blessing
And hey, feels like today
Feels like today

I treated life like a picture
But it's not a moment that's frozen in time
It's not gonna wait till I make up my mind, at all
So while this storm is breaking
While there's light at the end of the tunnel
I'll keep running towards it
Releasing the pressure that's my heartache
Soon this dam will break

[chorus]
And it feels like today, I know
Feels like today, I'm sure
It's the one thing that's missing
The one thing you're wishing
The last sacred blessing and hey
Feels like today
Feels like today",188,35
Mississippi John Hurt,Praying On the Old Camp Ground,Folk,"This old guitar taught me to sing a lovesong,
showed me how to laugh and how to cry,
introduced me to some friends of mine,
and brightened up some days,
it helped me make it through some lonely nights,
oh, what a friend to have on a cold lonely night.

This old guitar gave me my lovely lady,
it opened up her eyes and ears to me,
it brought us close together,
I guess it broke her heart,
but it opened up the space for us to be,
what a lovely place, a lovely space to be.

This old guitar gave me my life my living,
and all the things I know I love to do,
to serenade the stars that shine
from a sunny mountain side,
most of all to sing my songs for you,
ooh, I love to sing my songs for you,
yes I do,Lord, I love to sing my songs for you.",156,21
Old & In The Way,Wild Horses,Folk,"Childhood living is easy to do
The things you wanted I bought them for you
Graceless lady you know who I am
You know I can't let you slide through my hands

Wild horses couldn't drag me away,
Wild, wild horses, couldn't drag me away

I watched you suffer, a dull, aching pain
Now you've decided to show me the same
No sweeping exits or offstage lines
Could make me feel bitter or treat you unkind

Wild horses couldn't drag me away,
Wild, wild horses, couldn't drag me away

I know I've dreamed you a sin and a lie,
I have my freedom but I don't have much time
Faith has been broken, tears must be cried,
Let's do some living after we die

Wild horses couldn't drag me away,
Wild, wild horses, we'll ride them some day

Wild horses couldn't drag me away,
Wild, wild horses, we'll ride them some day",152,26
Flatt & Scruggs,You Can Feel It in Your Soul,Folk,"I woke up this morning
With this feeling inside me, that I can't explain
Like a weight that I've carried, been carried away, away
But I know something is coming
I don't know what it is
But I know it's amazing, can save me my time is coming
I'll find my way out
Of this longest drought

[chorus]
And it feels like today, I know
It feels like today, I'm sure
It's the one thing that's missing
The one thing you're wishing
The last sacred blessing
And hey, feels like today
Feels like today

I treated life like a picture
But it's not a moment that's frozen in time
It's not gonna wait till I make up my mind, at all
So while this storm is breaking
While there's light at the end of the tunnel
I'll keep running towards it
Releasing the pressure that's my heartache
Soon this dam will break

[chorus]
And it feels like today, I know
Feels like today, I'm sure
It's the one thing that's missing
The one thing you're wishing
The last sacred blessing and hey
Feels like today
Feels like today",188,35
Blind Willie Johnson,Praise God I'm Satisfied,Folk,"Ah, Lord, ah, Lord
Year of nineteen hundred and twelve, April the fourteenth day
Great Titanic struck an iceberg, people had to run and pray
God moves, moves, God moves, ah, and the people had to run and pray
The guards who had been a-watching, asleep 'cause they were tired
When they heard the great excitement, then a gunshot was fired
God moves, moves, God moves, ah, and the people had to run and pray
Captain Smith gave orders, women and children first
Many of the lifeboats piled right up, many were liable to crush
God moves on, God moves, God moves, ah, and the people had to run and pray
Ahh-ah
So many had to leave their happy home, all that they possess
Lord Jesus, will you hear us now, help us in our distress
God moves, God moves, God moves, ah, people had to run and pray
Women had to leave their loving ones, see 'bout their safety
When they heard the liner was doomed, hearts did almost break
God moves, God moves, God moves, ah, and the people had to run and pray
A.G. Smith, mighty man, built a boat that he couldn't understand
Named it a name of God in a tin, without a ""c"", Lord, he pulled it in
God moves, ah, God moves, God moves, ah, and the people had to run and pray
(spoken: Well) Ahh, ah, Lord",235,21
Lead Belly,The Bourgeois Blues,Folk,"(Johnson/Page/Plant)

Asked sweet mama, Let me be her kid
She said, &amp;quot;You might get hurt if you don't keep it hid&amp;quot;

Well I know my baby, If I see her in the dark
I said I know my rider, If I see her in the dark

Now, I goin' to Rosedale, Take my rider by my side
Still barrelhouse, If it's on the riverside, yeah
I know my baby, Lord, I said, &amp;quot;is really sloppy drunk&amp;quot;
I know my mama, Lord, a brownskin, but she ain't no plum

See my baby, tell her, Tell her hurry home
Had no lovin', since my baby been gone
See my baby, Tell hurry on home
I ain't had, Lord, my right mind, Since my rider's been gone

Hey, she promises, She's my rider
I wanna tell you, She's my rider
I know you're mine, She's my rider
She ain't but sixteen, But she's my rider

I'm goin' to Rosedale, Take my rider by side
Anybody argue with me man, I'll keep them satisfied
Well, see my baby, tell her, Tell her the shape I'm in
Ain't had no lovin', Lord, since you know when

Spoken: Why don't you come into my kitchen

She's a kindhearted lady. She studies evil all the time
She's a kindhearted woman. She studies evil all the time

Squeeze my lemon 'til the juice runs down my leg
Squeeze it so hard, I'll fall right out of bed
Squeeze my lemon, 'til the juice runs down my leg

Spoken: I wonder if you know what I'm talkin' about

Oh, but the way that you squeeze it girl
I swear I'm gonna fall right out of bed

She's a good rider
She's my kindhearted lady
I'm gonna take my rider by my side
I said her front teeth are lined with gold
She's gotta mortgage on my body, got a line on my soul
She's my brownskin sugar plum...",319,48
Joni Mitchell,The Dawntreader,Folk,"Peridots and periwinkle blue medallions
Gilded galleons spilled across the ocean floor
Treasure somewhere in the sea and he will find where
Never mind their questions there's no answer for
The roll of the harbor wake
The songs that the rigging makes
The taste of the spray he takes
And he learns to give
He aches and he learns to live
He stakes all his silver
On a promise to be free
Mermaids live in colonies
All his seadreams come to me

City satins left at home I will not need them
I believe him when he tells of loving me
Something truthful in the sea your lies will find you
Leave behind your streets he said and come to me
Come down from the neon nights
Come down from the tourist sights
Run down till the rain delights you
You do not hide
Sunlight will renew your pride
Skin white by skin golden
Like a promise to be free
Dolphins playing in the sea
All his seadreams come to me

Seabird I have seen you fly above the pilings
I am smiling at your circles in the air
I will come and sit by you while he lies sleeping
Fold your fleet wings I have brought some dreams to share
A dream that you love someone
A dream that the wars are done
A dream that you tell no one but the grey sea
They'll say that you're crazy
And a dream of a baby
Like a promise to be free
Children laughing out to sea
All his seadreams come to me",263,40
Lead Belly,Blue Tail Fly,Folk,"(Johnson/Page/Plant)

Asked sweet mama, Let me be her kid
She said, &amp;quot;You might get hurt if you don't keep it hid&amp;quot;

Well I know my baby, If I see her in the dark
I said I know my rider, If I see her in the dark

Now, I goin' to Rosedale, Take my rider by my side
Still barrelhouse, If it's on the riverside, yeah
I know my baby, Lord, I said, &amp;quot;is really sloppy drunk&amp;quot;
I know my mama, Lord, a brownskin, but she ain't no plum

See my baby, tell her, Tell her hurry home
Had no lovin', since my baby been gone
See my baby, Tell hurry on home
I ain't had, Lord, my right mind, Since my rider's been gone

Hey, she promises, She's my rider
I wanna tell you, She's my rider
I know you're mine, She's my rider
She ain't but sixteen, But she's my rider

I'm goin' to Rosedale, Take my rider by side
Anybody argue with me man, I'll keep them satisfied
Well, see my baby, tell her, Tell her the shape I'm in
Ain't had no lovin', Lord, since you know when

Spoken: Why don't you come into my kitchen

She's a kindhearted lady. She studies evil all the time
She's a kindhearted woman. She studies evil all the time

Squeeze my lemon 'til the juice runs down my leg
Squeeze it so hard, I'll fall right out of bed
Squeeze my lemon, 'til the juice runs down my leg

Spoken: I wonder if you know what I'm talkin' about

Oh, but the way that you squeeze it girl
I swear I'm gonna fall right out of bed

She's a good rider
She's my kindhearted lady
I'm gonna take my rider by my side
I said her front teeth are lined with gold
She's gotta mortgage on my body, got a line on my soul
She's my brownskin sugar plum...",319,48
Lead Belly,Little Sally Walker / Ha Ha Thisaway / Red Bird,Folk,"so, what, you think this is usual?
strange moon
strange land
strange man

hold your hands, your tiny horses
hold them hold them kindly

low, red moon
how can you sleep like a baby?
sleep like a baby?

when you shine so different on another,
you shine different on another

i look up and i see the raising of an old hope
brave and tatterred
a shining night with shining eyes he shines around me brightly

so, now, i say this beautiful
i think you are strange

low, red moon
how can you sleep like a baby?
sleep like a baby?
when you shine so different on another
you shine different on another

strange moon
strange land
strange man

moon you made me cry when i was young
and i was young
now i've got strong arms
strong arms for a skinny girl
and i say
he belongs to me
he belongs to me

he's a human bed of roses",160,41
Roger Miller,King Of The Road,Folk,"Trailer for sale or rent, rooms to let fifty cents
No phone, no pool, no pets, I ain't got no cigarettes
Ah but, two hours of pushin' broom buys a
Eight by twelve four-bit room
I'm a man of means by no means, king of the road

Third boxcar midnight train, destination Bangor, Maine
Old worn out suit and shoes, I don't pay no union dues
I smoke old stogies I have found, short but not too big around
I'm a man of means by no means, king of the road

I know every engineer on every train
All the children and all of their names
And every handout in every town
And every lock that ain't locked when no-one's around
I sing...

Trailers for sale or rent, rooms to let fifty cents
No phone, no pool, no pets, I ain't got no cigarettes
Ah but, two hours of pushin' broom buys a
Eight by twelve four-bit room
I'm a man of means by no means, king of the road

Trailers for sale or rent, rooms to let fifty cents
No phone, no pool, no pets, I ain't got no cigarettes
Ah but, two hours of pushin' broom buys a
Eight by twelve four-bit room........",205,27
Gram Parsons,She - Remastered Version,Folk,"she, she came from the land of the cotton
land that was nearly forgotten by everyone
and she, she worked and she slaved so hard
a big old field was her back yard in the delta sun
ooh, but she sure could sing
ooh, she sure could sing

then he looked down and he took a little pity
the whole town swore he decided he'd help her some
but he didn't mind if she wasn't very pretty
for deep inside his heart he knew she was the only one
ooh, but she sure could sing
yeah, she sure could sing

she had faith, she had believing
she led all the people together in singing
and she prayed every night to the lord up above
singing hallelujah, ooh hallelujah
they use to walk singing songs by the river
even when she knew for sure she had to go away
and she never knew what her life had to give her
and never had to worry about it for one single day
ooh my but she sure could sing
ooh, she sure could sing

she had faith, she had believing
led all the people together in singing
and she prayed every night to the lord up above
singing hallelujah, ooh hallelujah
she, she came from the land of the cotton
land that was nearly forgotten by everyone
and she, she worked and she slaved so hard
a big old field was her back yard in the delta sun
ooh, but she sure could sing
my, my, my she sure could sing
ooh, yeah she sure could sing
ooh, she sure could sing",270,37
The Louvin Brothers,The Christian Life,Folk,"There's a lot of things I want
A lot of things that I'd like to be
But girl I don't forsee a rags to riches story for me
It's just one little thing I got to make come true
It's just one round I've got to win
I can't be a loser with you

Baby baby just once in my life
I'm gonna get what I want girl don't let me down
Just once in my life let me hold on to
The good thing I found don't let me down
Baby say that you'd be staying

Cause I couldn't face the day if you weren't here by my side
And if you went away then I'd be left without any pride
I've given up on schemes cause everyone fell through
I've given up so many things don't ask me to give up on you

And baby, baby just once in my life
I'm gonna get what I want girl don't let me down
Just once in my life
Let me hold on to the good thing I found don't let me down
Baby say that you'd be staying

That old pot of gold ain't so easy to find
But if you'll stand by me
Girl I'll keep peace of mind
I can't give you the world
But I'll work hard for you girl
I'll work hard, everyday, all my life,
If you'll say you won't leave me,
Baby don't leave me,
Please don't leave me
Baby don't leave me,
Just do this for me baby,

Once in my life, let me get what I want,
Girl don't let me down;
Just once in my life, let me hold onto a good thing I've found, don't
let me down,
Baby say that you'll be stayin' Mmmm,
Oh yeah, Mmmm

Just once in my life let me get what I want,
Girl don't let me down;
Just once in my life let me hold onto
A good thing I've found, don't let me down. (fade)",334,47
Harry Nilsson,Everybody's Talkin',Folk,"Everybody's talking at me
I don't hear a word they're saying
Only the echoes of my mind

People stopping staring
I can't see their faces
Only the shadows of their eyes

I'm going where the sun keeps shining
Through the pouring rain
Going where the weather suits my clothes
Banking off of the northeast winds
Sailing on a summer breeze
And skipping over the ocean like a stone

I'm going where the sun keeps shining
Through the pouring rain
Going where the weather suits my clothes
Banking off of the northeast winds
Sailing on a summer breeze
And skipping over the ocean like a stone

Everybody's talking at me
Can't hear a word they're saying
Only the echoes of my mind
I won't let you leave my love behind
No, I won't let you leave
I won't let you leave my love behind",143,28
New Riders of the Purple Sage,Lonesome L.A. Cowboy,Folk,"I walk along the street
I look into your eyes
I'm pleasant when we meet
I'm there when you go home
How many times before
Could you tell I didn't care?
When you turned your back on me
I knew we'd get nowhere
Do you believe in youth
The history of all truth
A heart that's left at home
Becomes a heart of stone

Do you believe in truth?
The lies we told of youth
A cause we call our own
Beside an empty throne
How many times before
Could you tell I didn't care?
When you reached out in your sleep
And you knew I wasn't there
My eyes are made of stone
Just like your sordid home
How many times before
Did you leave my soul alone?",129,25
John Prine,Christmas in Prison,Folk,"Welcome to my Christmas song
I'd like to thank you for the year
So I'm sending you this Christmas card
To say it's nice to have you here
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh step into Christmas with me

CHORUS:
Step into Christmas
Let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry
Come along with me
Step into Christmas
The admission's free

Take care in all you do next year
And keep smiling through the days
If we can help to entertain you
Oh we will find the ways
So merry Christmas one and all
There's no place I'd rather be
Than asking you if you'd oblige
Stepping into Christmas with me

CHORUS

Repeat 1st verse

CHORUS X3",140,32
John Prine,Speed of the Sound of Loneliness,Folk,"You come home late and you come home early
You come on big when you're feeling small
You come home straight and you come home curly
Sometimes you don't come home at all

Chorus:
So what in the world's come over you
And what in heaven's name have you done
You've broken the speed of the sound of loneliness
You're out there running just to be on the run

Well I got a heart that burns with a fever
And I got a worried and a jealous mind
How can a love that'll last forever
Get left so far behind

Repeat Chorus:

It's a mighty mean and a dreadful sorrow
It's crossed the evil line today
Well, how can you ask about tomorrow
We ain't got one word to say

Repeat Chorus:

Ending:
You're out there running just to be on the run
You're out there running just to be on the run
You're out there running just to be on the run",163,29
Blind Willie Johnson,God Moves On the Water,Folk,"Drink the water, drink it down
This time I know I'm bound to spit it back up
I didn't want this salty substitute
Just not going to do, I need some air
If I'm going to live through
This experience reminds me of a clock that just won't tick

I want to wake up from this concussion
But my dream is just not done - I'm late again
It's just one of those bad days
Look outside and peek out for what you ride you just might find
That you're out of time to swim ashore
If I drift long enough I'll be home

He's got illusions between his ears, man, takes up too much space
And all that tension between his gears, man, he never ever leave this place
He's got stones instead of bones and everybody knows
Aw, man, that can make you real real slow
And if heaven were below, you'd know just where to go
Dive in the ocean and he'd sink like a stone
And he said, it's time to swim ashore
If I drift long enough I'll be home

Hold on if you can, you're going to sink faster than you can imagine so
Hold on if you can, you're going to sink faster than you can imagine so

It's just time to swim ashore
If I drift long enough I'll be home",229,28
John Prine,Far from Me,Folk,"How it all started, I hardly remember
A casual walk through the park in the winter
All that I wanted was someone I could talk to
It had to be you

The wind was cold we huddled together
Looking back I should'a known better
Wasn't it me who said I'll never fall for anyone?
And look what I've done

Chorus:
Gone too far, I don't know how I did it
Gone too far and I hate to admit it
But I spend all my time thinking of you
Gone too far, there's nothing I can do now
Gone too far, it'll work out somehow
But I spend all my time thinking of you

Seems before, I didn't know what was missing
Maybe I did, but I just wouldn't listen
Wasn't it me who said I'll never fall for anyone?
And look what I've done

Gone too far, I don't know how I did it
Gone too far and I hate to admit it
But I spend all my time thinking of you

[Guitar solo]

Bridge:
Maybe somewhere along the line
I knew it would happen to me
Now I look in those smiling eyes
And for days now that's all I can see

(Repeat Chorus and fade)",207,36
Rosanne Cash,Tennessee Flat Top Box,Folk,"In a little cabaret in a South Texas border town,
Sat a boy and his guitar, and the people came from all around.
And all the girls from there to Austin,
Were slippin' away from home and puttin' jewelery in hock.
To take the trip, to go and listen,
To the little dark-haired boy who played the Tennessee flat top box.

And he would play: (Instrumental.)

Well, he couldn't ride or wrangle, and he never cared to make a dime.
But give him his guitar, and he'd be happy all the time.
And all the girls from nine to ninety,
Were snapping fingers, tapping toes, and begging him: &amp;quot;Don't stop.&amp;quot;
And hypnotized and fascinated,
By the little dark-haired boy who played the Tennessee flat top box.

And he would play: (Instrumental.)

Then one day he was gone, and no one ever saw him 'round,
He'd vanished like the breeze, they forgot him in the little town.
But all the girls still dreamed about him.
And hung around the cabaret until the doors were locked.
And then one day on the Hit Parade,
Was a little dark-haired boy who played the Tennessee flat top box.

And he would play: (Instrumental.)",199,26
"Peter, Paul and Mary",Leaving on a Jet Plane,Folk,"Jet! Jet! Jet!
I can almost remember their funny faces
That time you told them that
You were going to be marrying soon

And Jet, I thought
The only lonely place
Was on the moon

Jet! Whoo hoo! Jet! Whoo hoo!
Jet! Was your father
As bold as a sergeant major?
How come he told you that
You were hardly old enough yet?

And Jet, I thought the major
Was a lady suffragette
Jet! Woo hoo! Jet! Woo hoo!

Ah, mater
Want jet to always love me?
Ah, mater
Want jet to always love me?
Ah, mater
Much later

Jet!

And Jet, I thought the major
Was a lady suffragette
Jet! Woo hoo! Jet! Woo hoo!

Ah, mater
Want jet to always love me?
Ah, mater
Want jet to always love me?
Ah, mater
Much later

What she say?
What she say?

Jet!
With the wind in your hair
Of a thousand laces
Climb on the back
And we'll go for a ride
In the sky

And Jet, I thought that the major
Was a lady suffragette
Jet! Woo hoo! Jet! Woo hoo!

And Jet, you know I thought you
Was a lady suffragette
Jet! Woo hoo!

A lady, my lady, yes, ooh",203,58
Judy Collins,Send in the Clowns,Folk,"Isn't it rich?
Are we a pair?
Me here at last on the ground,
You in mid-air..
Where are the clowns?

Isn't it bliss?
Don't you approve?
One who keeps tearing around,
One who can't move...
Where are the clowns?
Send in the clowns.

Just when I'd stopped opening doors,
Finally knowing the one that I wanted was yours.
Making my entrance again with my usual flair
Sure of my lines...
No one is there.


Don't you love farce?
My fault, I fear.
I thought that you'd want what I want...
Sorry, my dear!
And where are the clowns
Send in the clowns
Don't bother, they're here.

Isn't it rich?
Isn't it queer?
Losing my timing this late in my career.
And where are the clowns?
There ought to be clowns...
Well, maybe next year.",135,34
Loretta Lynn,You Ain't Woman Enough,Folk,"You've come to tell me somethin'
You say I ought to know
That he don't love me any more
And I'll have to let him go

You say you're gonna take him
But I don't think you can
'Cause you ain't woman enough
To take my man

Women like you they're a dime a dozen
You can buy 'em anywhere
For you to get to him
I'd have to move over
And I'm gonna stand right here

It'll be over my dead body
So get out while you can
'Cause you ain't woman enought
To take my man

(Instrumental)

Sometimes a man's caught lookin'
At things that he don't need
He took a second look at you
But he's in love with me
Well, I don't know where that leaves you
Ah, but I know where I stand
And you ain't woman enough
To take my man

Women like you they're a dime a dozen
You can buy 'em anywhere
For you to get to him
I'd have to move over
And I'm gonna stand right here

It'll be over my dead body
So get out while you can
'Cause you ain't woman enough
To take my man
No, you ain't woman enough
To take my man",207,44
The Byrds,5D (Fifth Dimension),Folk,"Oh how is it
That I could come out to you
And be still floatin'
And never hit bottom
But keep falling through
Just relaxing and paying attention

All my two-dimensional
Boundaries were gone
I had lost to them badly
I saw that world crumble
And thought I was dead
But I found my senses still working

And as I continued
To drop through the hole
I found all surrounding
To show me that joy innocently is


Just be quiet and feel it around you

And I opened my heart
To the whole universe
And I found it was loving
And I saw the great blunder
My teachers had made
Scientific delerium madness

I will keep falling as long as I live
Ah, without ending
And I will remember
The place that is now
That has ended
Before the beginning

{Repeat 1st verse}",143,37
Burl Ives,The Little Drummer Boy,Folk,"(Hank Cochran)

A little bitty tear let me down, spoiled my act as a clown
I had it made up not make a frown, but a little bitty tear let me down.

You said you were leaving tomorrow
That today was our last day
I said there'd be no sorrow, that I'd laugh when you walked away.

A little bitty tear let me down, spoiled my act as a clown
I had it made up not make a frown, but a little bitty tear let me down.

I said I'd laugh when you left me
Pull a funny as you went out the door
That I'd have another waiting
And I'd wave goodbye as you go.

A little bitty tear let me down, spoiled my act as a clown
I had it made up not make a frown, but a little bitty tear let me down.

Everything went like a planned it
And really put on quite a show
In my heart I felt I could stand it
Till you walked with your *grip* through the door.
A little bitty tear let me down, spoiled my act as a clown
I had it made up not make a frown, but a little bitty tear let me down.

A little bitty tear let me down.",214,28
John Prine,Illegal Smile,Folk,"©1971 by John Prine

When I woke up this morning, things were lookin' bad
Seem like total silence was the only friend I had
Bowl of oatmeal tried to stare me down... and won
And it was twelve o'clock before I realized
That I was havin' ... no fun

Chorus:
But fortunately I have the key to escape reality
And you may see me tonight with an illegal smile
It don't cost very much, but it lasts a long while
Won't you please tell the man I didn't kill anyone
No I'm just tryin' to have me some fun

Last time I checked my bankroll,
It was gettin' thin
Sometimes it seems like the bottom
Is the only place I've been
I Chased a rainbow down a one-way street... dead end
And all my friends turned out to be insurance salesmen

Repeat Chorus:

Well, I sat down in my closet with all my overalls
Tryin' to get away
From all the ears inside my walls
I dreamed the police heard
Everything I thought... what then?
Well I went to court
And the judge's name was Hoffman

Ah but fortunately I have the key to escape reality
And you may see me tonight with an illegal smile
It don't cost very much, but it lasts a long while
Won't you please tell the man I didn't kill anyone
No I'm just tryin' to have me some fun
Well done, hot dog bun, my sister's a nun",245,38
Roger Miller,Do-Wacka-Do,Folk,"Kenny Rogers, Ruby, Don't Take Your Love To Town Lyrics
Looking for Kenny Rogers tabs and chords? Browse alphabet (above)

Artist: Rogers Kenny
Song: Ruby, Don't Take Your Love To Town
Album: Best Of Kenny Rogers
Buy Kenny Rogers Sheet Music
Buy Kenny Rogers CDs

You've painted up your lips
And rolled and curled your tinted hair
Ruby are you contemplating going out somewhere
The shadow on the wall tells me the sun is going down
Oh Ruby, don't take your love to town

It wasn't me that started that old crazy Asian war
But I was proud to go and do my patriotic chore
And yes, it's true that I'm not the man I used to be
Oh, Ruby... I still need some company

It's hard to love a man whose legs are bent and paralysed
And the wants and the needs of a woman your age, Ruby I realize,
But it won't be long I've heard them say until I not around
Oh Ruby, don't take your love to town

She's leaving now 'cause I just heard the slamming of the door
The way I know I've heard it slam some 1oo times before
And if I could move I'd get my gun and put her in the ground
Oh Ruby, don't take your love to town

Oh Ruby.. For god's sake turn around",226,31
Harry Chapin,Cat's in the Cradle,Folk,"My child arrived just the other day,
He came to the world in the usual way.
But there were planes to catch, and bills to pay.
He learned to walk while I was away.
And he was talking 'fore I knew it, and as he grew,
He'd say, ""I'm gonna be like you, dad.
You know I'm gonna be like you.""

And the cat's in the cradle and the silver spoon,
Little boy blue and the man in the moon.
""When you coming home, dad?"" ""I don't know when,
But we'll get together then.
You know we'll have a good time then.""

My son turned ten just the other day.
He said, ""Thanks for the ball, dad, come on let's play.
Can you teach me to throw?"" I said, ""Not today,
I got a lot to do."" He said, ""That's ok.""
And he walked away, but his smile never dimmed,
Said, ""I'm gonna be like him, yeah.
You know I'm gonna be like him.""

And the cat's in the cradle and the silver spoon,
Little boy blue and the man in the moon.
""When you coming home, dad?"" ""I don't know when,
But we'll get together then.
You know we'll have a good time then.""

Well, he came from college just the other day,
So much like a man I just had to say,
""Son, I'm proud of you. Can you sit for a while?""
He shook his head, and he said with a smile,
""What I'd really like, dad, is to borrow the car keys.
See you later. Can I have them please?""

And the cat's in the cradle and the silver spoon,
Little boy blue and the man in the moon.
""When you coming home, son?"" ""I don't know when,
But we'll get together then, dad.
You know we'll have a good time then.""

I've long since retired and my son's moved away.
I called him up just the other day.
I said, ""I'd like to see you if you don't mind.""
He said, ""I'd love to, dad, if I could find the time.
You see, my new job's a hassle, and the kid's got the flu,
But it's sure nice talking to you, dad.
It's been sure nice talking to you.""
And as I hung up the phone, it occurred to me,
He'd grown up just like me.
My boy was just like me.

And the cat's in the cradle and the silver spoon,
Little boy blue and the man in the moon.
""When you coming home, son?"" ""I don't know when,
But we'll get together then, dad.
We're gonna have a good time then.""",438,57
Alan Mills,A la Claire Fontaine,Folk,"(Lead vocal - John Miles)

Voiceover:
''In recent times, there is no one at all who can approach
''Antonio Gaudi''. He started a new cathedral, in Barcelona,
it is called'' La Sagrada Familia ''or the'' Holy Family...
''The sad thing is they could try to finish it, but I don't
think they will do it.''

Who knows where the road may lead us, only a fool would say
Who knows if we'll meet along the way
Follow the brightest star as far as the brave may dare
What will we find when we get there

La Sagrada Familia we pray the storm will soon be over
La Sagrada Familia for the lion and the lamb

Who knows where the winds may blow us, only a fool would say
Who knows if we'll ever reach the shore
Follow a rising sun with eyes that may only stare
What kind of fire will burn us there? What kind of fire?
Only a fool would say

La Sagrada Familia the wind has changed the storm is over
La Sagrada Familia for the lion and the lamb
La Sagrada Familia we thank the lord the danger's over
La Sagrada Familia there's peace throughout the land

Under clear blue skies our voices rise in songs of glory
And for all those years our eyes and ears were filled with tears

Who knows where the world may turn us, only a fool would say
Who knows what the fates may have in store
Follow the light of truth as far as our eyes can see
How should we know where that may be? How should we know?

Then the angry skies, the battle cries, the sounds of glory
And for all those years our eyes and ears were filled with tears

Who knows where the road may lead us, only a fool would say
Who knows what's been lost along the way
Look for the promised land in all of the dreams we share
How will we know when we are there? How will we know?
Only a fool would say

La Sagrada Familia the war is won the battle's over
La Sagrada Familia for the lion and the lamb
La Sagrada Familia we thank the lord the danger's over
La Sagrada Familia behold the mighty hand
La Sagrada Familia the night is gone the waiting's over
La Sagrada Familia there's peace throughout the land

Until the next time
Until the next time

La Sagrada Familia",410,56
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),Folk,"Words-adapted from The Bible, book of Ecclesiastes
Music-Pete Seeger

To Everything (Turn, Turn, Turn)
There is a season (Turn, Turn, Turn)
And a time to every purpose, under Heaven

A time to be born, a time to die
A time to plant, a time to reap
A time to kill, a time to heal
A time to laugh, a time to weep

To Everything (Turn, Turn, Turn)
There is a season (Turn, Turn, Turn)
And a time to every purpose, under Heaven

A time to build up,a time to break down
A time to dance, a time to mourn
A time to cast away stones, a time to gather stones together

To Everything (Turn, Turn, Turn)
There is a season (Turn, Turn, Turn)
And a time to every purpose, under Heaven

A time of love, a time of hate
A time of war, a time of peace
A time you may embrace, a time to refrain from embracing

To Everything (Turn, Turn, Turn)
There is a season (Turn, Turn, Turn)
And a time to every purpose, under Heaven

A time to gain, a time to lose
A time to rend, a time to sew
A time for love, a time for hate
A time for peace, I swear it's not too late",212,36
